"Privileges","Permitted","Entitlement ID"
"Course/Organization Control Panel (Tools) > Announcements > Create Announcement","false","course.announcements.CREATE"
"Course/Organization Control Panel (Customization) > Properties, Language Pack","false","course.locale.MODIFY"
"Course/Organization > Access unavailable course","true","course.unavailable-course.VIEW"
"Course/Organization Control Panel (Tools) > Collaboration","false","course.collaboration.VIEW"
"Course/Organization Control Panel (Tools) > Tests, Surveys, and Pools > Pools","true","course.pool.MODIFY"
"Course/Organization Control Panel (Users and Groups) > Users > Remove System DSK Users from Course/Organization","false","course.user.DELETE"
"Course/Organization Control Panel (Tools) > Calendar > Edit Office Hours","false","course.calendar-entry.office-hours.MODIFY"
"Course/Organization Control Panel (Customization) > Properties, Default Files Directory","false","course.configure-coursefiles.EXECUTE"
"Course/Organization (Tools) > Send Email > All Teaching Assistant/Assistant Users","false","course.email-all-tas.EXECUTE"
"Course/Organization (Content Areas) > Adaptive Release > Edit","false","course.adaptiverelease.MODIFY"
"Course/Organization Control Panel (Tools) > Goals > Add Associations","false","course.learningstandards_association.CREATE"
"Course/Organization (Content Areas) > Adaptive Release > Edit Performance-Based Criteria","false","course.adaptiverelease.performance.MODIFY"
"Course/Organization Control Panel (Grade Center) > Override Grades","false","course.gradebook-grades.override.EXECUTE"
"Add/Edit Original and Ultra Achievements","false","course.achievements.MODIFY"
"Course/Organization > Individual > Add, edit or delete (self-authored) notes about a course individual (Ultra Course/Organization View)","false","course.user.notes.MODIFY"
"Course Outline > Course Roster > Accommodations > View User's Time Limit accommodation","false","course.timelimit-exception.VIEW"
"Record Audio/Video using Video Studio as faculty","false","videostudio.content.CREATE"
"Course/Organization Control Panel (Grade Center) > View Grade Center Items and Settings","false","course.gradebook-metadata.VIEW"
"Course/Organization Control Panel (Tools) > Discussion Board","false","course.cp_discussion.VIEW"
"Course/Organization Control Panel (Grade Center) > View limited gradebook column information","false","course.bare-bones-gradebook-columns.VIEW"
"Course/Organization Control Panel (Grade Center) > Reconcile Grades","false","course.gradebook-reconcile.EXECUTE"
"Course/Organization Control Panel (Tools) > Journals > View Entries","false","course.journal.entry.VIEW"
"Course/Organization Control Panel (Help) > Contact Support","false","course.assistance.VIEW"
"Course/Organization (Content Areas) > Adaptive Release > Create User/Group Criteria","false","course.adaptiverelease.acl.CREATE"
"Course/Organization (Menu) > Edit","false","course.configure-areas.EXECUTE"
"Course Outline > Course Roster > Accommodations > Edit User's Time Limit accommodation","false","course.timelimit-exception.MODIFY"
"Course/Organization (Tools) > Send Email > All Observer Users","false","course.email-all-observers.EXECUTE"
"Course/Organization Control Panel (Tools) > Calendar > Create Course Schedule","false","course.calendar-entry.course-schedule.CREATE"
"Course/Organization > Student/Participant > Activity Log","false","course.student-logs.VIEW"
"Course/Organization > Access child course names and ids","false","course.children.VIEW"
"Course/Organization (Content Areas) > Copy Materials","false","course.content-item.copy.EXECUTE"
"Course/Organization Control Panel (Tools) > Rubrics > Create Rubric","false","course.rubrics.CREATE"
"Course/Organization > Automations > View","false","course.automations.VIEW"
"Course/Organization Control Panel (Tools) > Journals > Create Journal","false","course.journal.CREATE"
"Course/Organization Control Panel (Tools) > Date Management","false","course.date-management.EXECUTE"
"Course/Organization Outline > Discussions > View Discussion Settings (Ultra Course/Organization View)","false","course.ultra.discussion.settings.VIEW"
"Course/Organization Control Panel (Tools) > Calendar","false","course.calendar.VIEW"
"Course/Organization Control Panel (Users and Groups) > Users > Enroll User","false","course.user-enroll.EXECUTE"
"Course/Organization Control Panel (Tools) > Messages","false","course.tools.messages.MODIFY"
"Course/Organization Control Panel (Tools) > Discussion Board > Create Forum","false","discussion.forum.CREATE"
"Course/Organization Control Panel (Tools) > Goals","false","course.learningstandards_association.VIEW"
"Course/Organization > Messages > View Messages","true","course.user.message.VIEW"
"Course/Organization Control Panel (Tools) > Announcements","false","course.announcements.VIEW"
"Course/Organization > Conversations > Address message to all students","false","course.conversations.message-all-students.CREATE"
"Course/Organization > Goals Alignments, View","false","course.learningstandards.alignment.VIEW"
"Course/Organization Control Panel (Customization) > Guest and Observer Access","false","course.configure-guest-access.EXECUTE"
"Course/Organization Control Panel (Tools) > Attendance > Delete Attendance","false","course.attendance.DELETE"
"Course/Organization Control Panel (Tools) > Glossary","false","course.tools.glossary.MODIFY"
"Course/Organization Control Panel (Tools) > Calendar > Create Entry","false","course.calendar-entry.CREATE"
"Course/Organization Control Panel (Grade Center) > Publish Grades","false","course.gradebook-grades.publish.EXECUTE"
"Course/Organization Control Panel (Grade Center) > Edit Delegated Grading/Parallel Grading options","false","course.gradebook-delegate-config.MODIFY"
"Course/Organization Control Panel (Tools) > Calendar > Edit Event","false","course.calendar-entry.event.MODIFY"
"Course/Organization Control Panel (Tools) > Announcements > View All (Draft and Posted)","false","course.announcements.admin.VIEW"
"Course/Organization Control Panel (Grade Center) > Delete Assessment Results","false","course.assessment.results.DELETE"
"Course/Organization Control Panel (Tools) > Tasks > Delete Task","false","course.tasks.DELETE"
"Course/Organization > Individual > Delete notes about a course individual authored by other users (Ultra Course/Organization View)","false","course.user.notes.admin.DELETE"
"Course/Organization Control Panel (Evaluation) > SCORM Reports","false","course.scormreport.VIEW"
"Course/Organization > Goals Alignments, Delete","false","course.learningstandards.alignment.DELETE"
"View Original and Ultra Achievements","false","course.achievements.VIEW"
"Course/Organization Control Panel (Customization) > Properties, Availability","false","course.availability.MODIFY"
"Course/Organization Outline > Discussions > View all groups in a discussion (Ultra Course/Organization View)","false","course.ultra.discussion.groups.VIEW"
"Course/Organization Control Panel (Users and Groups) > Groups > Create Group","false","course.groups.CREATE"
"Course/Organization Control Panel (Tools) > Tasks > Edit Task","false","course.tasks.MODIFY"
"Add/Edit embedded content with scripts into iframe","false","content.embedded-iframe.MODIFY"
"Course/Organization Control Panel (Tools) > Collaboration > Moderate Sessions","false","course.collab.moderate.EXECUTE"
"Course/Organization Control Panel (Grade Center) > Provide Grading Feedback","false","course.gradebook-grades.feedback.EXECUTE"
"Course/Organization Control Panel (Tools) > Collaboration > Manage Sessions","false","course.collaboration.MODIFY"
"Course/Organization Control Panel (Grade Center) > Full Control","false","course.gradebook.MODIFY"
"Course Outline > Course Roster > Accommodations > Edit User's Due Date accommodation","false","course.duedate-exception.MODIFY"
"Course Control Panel (Users and Groups) > Users > Change User's Role in Course for all roles","false","course.user-role.all-roles.MODIFY"
"Course/Organization (Tools) > Send Email > All Groups","false","course.email-all-groups.EXECUTE"
"Course/Organization Control Panel (Tools) > Tests, Surveys, and Pools > Tests > Delete Test","true","course.assessment.DELETE"
"Course/Organization Control Panel (Tools) > Journals > Delete Journal","false","course.journal.DELETE"
"Make Course/Organization complete and revert to not complete","false","course.complete.MODIFY"
"Course/Organization > Groups > View All Groups","false","course.groups.VIEW"
"Course/Organization Control Panel (Tools) > Calendar > Delete Entry","false","course.calendar-entry.DELETE"
"Course/Organization Outline > Discussions > Delete Discussion (Ultra Course/Organization View)","false","course.ultra.discussion.DELETE"
"Course/Organization (Tools) > Send Email > Select Groups","false","course.email-groups.EXECUTE"
"Add/Edit trusted content with scripts","false","content.trustedcontent.MODIFY"
"Course/Organization > Conversations > Disable Message Replies","false","course.conversations.allow-replies.MODIFY"
"Course/Organization Control Panel (Customization) > Enrollment Options","false","course.enrollment.MODIFY"
"View Accessibility Analysis for Course Files.","false","ax.ally.score-coursefiles.VIEW"
"Course/Organization Control Panel (Tools) > Blogs > Create Blog","false","course.blog.CREATE"
"Course/Organization > Conversations > Address message to all instructor roles","false","course.conversations.message-all-act-as-instructor-roles.CREATE"
"Course/Organization Control Panel (Evaluation) > Early Warning System > Delete Rule","false","course.ews.DELETE"
"Course/Organisation Control Panel (Tools) > Blogs > View Blog","false","course.blog.VIEW"
"Course/Organization Control Panel (Packages and Utilities) > Course/Organization Copy > Copy Materials into a New Course/Organization","false","course.content.copy.new.EXECUTE"
"Course/Organization Control Panel (Tools) > Tests, Surveys, and Pools > Tests > Build Test","false","course.assessment.CREATE"
"Course/Organization > Course List > Edit Banner","false","course.banner.MODIFY"
"Course/Organization Notifications > Receive Email Enrollment Requests","false","course.enrollment.email.VIEW"
"Course/Organization (Content Areas) > View Material Settings","true","course.content.designer.VIEW"
"Course Outline > Course Roster > Accommodations > View User's Due Date accommodation","false","course.duedate-exception.VIEW"
"Course/Organization Control Panel (Evaluation)","false","course.evaluation.VIEW"
"Course/Organization Control Panel (Users and Groups) > Users > Change System DSK User's availability in Course/Organization","false","course.course-availability.MODIFY"
"Course/Organization Control Panel (Grade Center) > Download Grade Data","false","course.gradebook-data.export.EXECUTE"
"Course/Organization > Messages > Send Message","false","course.user.message.CREATE"
"Course/Organization Control Panel (Customization) > Modify Progress Tracking Configuration","false","course.progress.settings.MODIFY"
"Course/Organization (Content Areas) > Adaptive Release > Edit Date-Based Criteria","false","course.adaptiverelease.dates.MODIFY"
"Search for images using Unsplash","false","course.unsplash.search.EXECUTE"
"Course/Organization Control Panel (Users and Groups) > Users > Remove Non-System DSK Users from Course/Organization","false","course.user.non-system.data-sources.DELETE"
"Course/Organization Control Panel (Packages and Utilities) > Export Course/Organization","false","course.export.EXECUTE"
"Course/Organization Control Panel (Users and Groups) > Groups > Delete Group","false","course.groups.DELETE"
"Course/Organization Control Panel (Customization) > Properties, Duration","false","course.configure-duration.EXECUTE"
"Course/Organization Control Panel (Tools) > Attendance > View Attendance","false","course.attendance.VIEW"
"Course/Organization Control Panel (Tools) > Calendar > Edit Course Schedule","false","course.calendar-entry.course-schedule.MODIFY"
"Course/Organization Control Panel (Tools) > Blogs > Grade Blog","false","course.blog.grade.EXECUTE"
"Course/Organization Control Panel (Users and Groups) > Users > Change Non-System DSK User's Role in Course/Organization","false","course.user-role.non-system.data-sources.MODIFY"
"Course/Organization (Tools) > Send Email > Select Users","false","course.email-students.EXECUTE"
"Course/Organization Control Panel (Grade Center) > View All","false","course.gradebook.only.VIEW"
"Course/Organization Control Panel (Tools) > Blogs > Edit Blog Entry","false","course.blog.entry.MODIFY"
"Course/Organization > Student Preview > Access Preview Account","false","course.user-impersonate.EXECUTE"
"Course/Organization Control Panel","false","course.control_panel.VIEW"
"Course/Organization Control Panel (Evaluation) > Course Reports","false","course.statistics.report.VIEW"
"Course/Organization Notifications > Receive Submission Notifications","false","notifications.submissions.VIEW"
"Course/Organization (Tools) > Send Email > All Instructor/Leader Users","false","course.email-all-instructors.EXECUTE"
"Mark Course Files for Accessibility Analysis.","false","ax.ally.score-coursefiles.CREATE"
"Course/Organization Control Panel (Tools) > Goals > Delete Associations","false","course.learningstandards_association.DELETE"
"Course/Organization Control Panel (Tools) > Tests, Surveys, and Pools > Tests > View Test Design and Settings","true","course.assessment.VIEW"
"Course/Organization Control Panel (Users and Groups) > Users > Change Student Password","false","course.user-password.MODIFY"
"Course/Organization Control Panel (Tools) > Attendance > Create Attendance","false","course.attendance.CREATE"
"Course/Organization Gradebook > Gradebook Item > Exceptions > Edit Item Show On, Hide After and Attempts Exceptions","false","course.assessment.exceptions.MODIFY"
"Course/Organization Control Panel (Packages and Utilities) > Course/Organization Copy","false","course.content.copy.EXECUTE"
